Id,CreationStamp,Dataset,Description,Ch_0_0,Ch_0_1,Ch_0_2,Ch_0_3,Ch_0_4,Ch_0_5,Ch_0_6,Ch_0_7,Ch_0_8,Ch_0_9,Ch_0_10,Ch_0_11,Ch_0_12,Ch_0_13,Ch_0_14,Ch_0_15,Ch_0_16,Ch_0_17,Ch_1_0,Ch_1_1,Ch_1_2,Ch_1_3,Ch_1_4,Ch_1_5,Ch_1_6,Ch_1_7,Ch_1_8,Ch_1_9,Ch_1_10,Ch_1_11,Ch_1_12,Ch_1_13,Ch_1_14,Ch_1_15,Ch_1_16,Ch_1_17
6823,2020-10-02 22:19:45Z,Cl_12_11,1,219.078,481.9717,2410.569,13455.06,5688.807,14208.19,947.7349,3232.244,3042.196,597.499,7929.639,100.5598,8612.79,76.13245,10783.4,84.69088,15641.07,78.16132,2843.646,56.79458,1398.177,403.4083,1313.747,190.9128,284.2191,617.7587,296.9527,932.4482,1166.091,962.571,681.7336,837.3346,202.5244,337.3236,180.0372,229.6691
6824,2020-10-02 23:00:08Z,Cl_12_11,2,219.078,437.2036,2309.26,12266.82,5456.711,16397.79,976.0109,3192.267,2983.287,589.0836,7569.62,99.02454,7602.193,91.48174,9734.266,83.53862,15284.39,72.65701,2905.826,56.79458,1485.276,378.6537,1173.448,183.3651,299.266,601.0399,306.9343,895.0172,1125.911,911.0359,658.2256,734.3469,188.8491,278.7153,175.1714,207.2861
6825,2020-10-02 23:02:58Z,Cl_12_11,3,227.6507,492.4493,2388.792,13749.52,5103.136,14153.87,928.2341,3189.342,2990.02,586.5589,7543.521,95.95401,7204.34,71.83465,9605.213,76.62508,15417.6,73.75787,2565.548,47.49202,1316.578,412.5767,1158.796,190.4688,239.0784,584.3211,280.3167,944.9252,1128.531,943.3545,698.5251,889.9479,188.8491,309.9731,180.0372,246.2131
6826,2020-10-02 23:03:32Z,Cl_12_11,4,206.6954,436.2511,2280.856,12816.92,5310.541,16036.31,988.6863,3258.57,3106.153,626.1116,7820.636,103.6303,8608.492,101.3053,10917.63,95.63732,16352.23,78.16132,3330.317,65.11792,1391.759,391.4894,1279.116,195.7966,310.9692,672.0947,307.7661,931.6164,1146.875,949.4688,651.509,838.454,200.5708,308.6707,183.9299,253.9985
6827,2020-10-02 23:04:23Z,Cl_12_11,5,212.4104,427.6784,2241.09,12097.34,5308.565,16381.99,982.8361,3181.542,2972.347,594.9744,7535.844,99.79217,8472.805,95.16556,10559.86,86.41927,15260.17,73.75787,3093.836,58.75301,1484.359,388.7389,1284.888,184.2531,310.1332,615.2509,314.4205,915.8122,1133.772,937.2402,663.8228,783.6019,197.966,313.8803,181.9836,225.7764
6828,2020-10-02 23:04:49Z,Cl_12_11,6,220.9831,464.8264,2356.601,12420.2,5573.252,13240.3,924.334,3029.436,2932.794,562.9955,7799.142,94.41875,8035.657,75.51848,10294.84,81.23411,15739.05,74.85873,2951.36,55.32575,1333.081,411.6599,1228.946,181.5892,265.8285,631.9696,288.6347,930.7846,1111.062,921.5176,680.6142,858.6038,187.5467,288.4833,177.1177,238.4277
6829,2020-10-02 23:05:22Z,Cl_12_11,7,216.2205,442.9186,2288.431,12205.28,5191.036,14479.79,976.0109,3086.963,2997.594,576.4603,7586.508,98.2569,7976.102,90.25379,10486.69,84.11475,15715.93,74.85873,3040.469,56.79458,1415.596,398.8241,1225.838,185.585,295.0863,633.6415,300.2799,934.9436,1145.128,973.0527,673.8976,847.4095,194.71,286.5297,183.9299,238.4277
6830,2020-10-02 23:05:50Z,Cl_12_11,8,221.9356,480.0667,2398.26,12947.58,5695.72,13011.17,941.8846,3150.341,2984.97,582.3511,7908.146,95.95401,8432.896,75.51848,10754.59,83.53862,15253.57,64.95096,3060.542,57.28419,1132.294,380.4874,1251.589,170.4896,267.5004,596.8602,280.3167,660.4495,905.795,917.1502,593.2986,925.7697,195.3612,306.717,186.8495,216.0447
6831,2020-10-02 23:06:18Z,Cl_12_11,9,198.1228,407.6757,2042.261,11705.37,4559.934,13101.04,873.6321,2885.131,2750.178,549.5308,6833.46,92.11584,7981.627,80.43024,10332.86,83.53862,15408.79,74.85873,3048.302,55.81536,1263.401,391.4894,1196.091,171.8215,268.3363,654.54,286.1393,919.1394,1102.327,945.9749,663.8228,798.1545,187.5467,308.0195,178.0909,220.9106
6832,2020-10-02 23:07:16Z,Cl_12_11,10,204.7903,461.0164,2193.75,13045.1,5018.199,15433.85,936.0344,3234.194,2889.875,607.5976,7206.53,101.3274,7947.245,92.70967,10233.19,86.99539,16057.2,75.95959,3105.097,58.75301,1411.929,397.9073,1228.502,187.8049,297.5941,651.1962,302.7753,933.28,1150.368,927.6319,672.7782,857.4843,193.4076,299.5538,178.0909,237.4545
