Id,CreationStamp,Dataset,Description,Ch_0_0,Ch_0_1,Ch_0_2,Ch_0_3,Ch_0_4,Ch_0_5,Ch_0_6,Ch_0_7,Ch_0_8,Ch_0_9,Ch_0_10,Ch_0_11,Ch_0_12,Ch_0_13,Ch_0_14,Ch_0_15,Ch_0_16,Ch_0_17,Ch_1_0,Ch_1_1,Ch_1_2,Ch_1_3,Ch_1_4,Ch_1_5,Ch_1_6,Ch_1_7,Ch_1_8,Ch_1_9,Ch_1_10,Ch_1_11,Ch_1_12,Ch_1_13,Ch_1_14,Ch_1_15,Ch_1_16,Ch_1_17
6923,2020-10-03 02:17:26Z,SO4_12_11,1,202.8853,452.4438,2376.484,12762.95,5818.188,13608.69,929.2092,3125.965,3074.175,597.499,8092.377,101.3274,8781.019,81.04422,11084.71,89.87604,16055,81.46391,3334.723,63.6491,1263.401,392.4063,1286.22,175.8174,284.2191,691.3212,297.7845,919.9712,1103.201,943.3545,655.9867,773.527,199.9196,321.0435,185.8763,227.7228
6924,2020-10-03 02:18:48Z,SO4_12_11,2,200.0278,427.6784,2347.133,12186.34,5753.003,13913.87,891.1827,3152.291,3037.146,602.5483,8275.842,100.5598,8854.695,78.58833,11244.3,85.84313,16383.05,80.36305,3189.799,61.20105,1191.888,380.4874,1299.095,178.9253,277.5316,678.7822,284.4757,922.4666,1085.731,904.9215,604.4929,600.0151,201.222,293.0418,185.8763,209.2325
6925,2020-10-03 02:19:26Z,SO4_12_11,3,197.1702,421.0108,2296.952,12360.56,5575.228,15844.71,949.6849,3190.317,3104.47,611.8053,8050.925,105.1656,8957.229,103.7612,10927.43,93.3328,16606.53,82.56477,3266.178,63.6491,1362.42,385.9884,1308.419,195.3526,315.1489,678.7822,308.5979,919.9712,1175.699,942.481,658.2256,829.4985,200.5708,293.0418,180.0372,240.374
6926,2020-10-03 02:19:48Z,SO4_12_11,4,210.5054,438.1561,2367.962,12773.36,5546.586,16656.55,1003.312,3253.695,3160.854,618.5377,7960.345,105.1656,8469.121,102.5332,10763.81,91.60442,16740.83,83.66564,3197.143,63.15949,1336.749,392.4063,1272.9,189.5809,301.7738,670.4228,303.6071,943.2616,1175.699,960.824,667.181,789.199,198.6172,319.7411,181.9836,228.6959
6927,2020-10-03 02:20:06Z,SO4_12_11,5,223.8406,486.7343,2304.526,13378.37,5037.952,14415.59,952.61,3181.542,2968.139,580.668,7377.712,94.41875,7390.987,73.67656,9959.532,78.35346,15699.42,78.16132,2808.884,53.36732,1343.166,398.8241,1139.261,180.2572,255.7972,617.7587,291.9619,931.6164,1119.797,921.5176,681.7336,876.5146,188.1979,292.3906,182.9568,245.2399
6928,2020-10-03 02:20:22Z,SO4_12_11,6,193.3602,427.6784,2263.814,12557.49,5304.615,14633.86,941.8846,3236.144,3110.361,620.2208,7905.843,105.1656,8830.75,93.32365,11091.05,94.48506,16691.29,82.56477,3410.123,68.05557,1270.736,391.4894,1270.236,185.585,302.6098,704.6963,297.7845,944.0934,1152.115,926.7584,664.9421,837.3346,197.3148,309.9731,185.8763,251.0789
6929,2020-10-03 02:20:38Z,SO4_12_11,7,230.5082,473.3991,2476.845,13476.84,5831.027,17049.63,1010.137,3305.372,3094.372,600.8652,7921.195,101.3274,8267.124,99.46336,10365.7,85.26701,15453.92,75.95959,2866.657,54.83614,1452.27,395.1568,1293.323,198.0165,285.0551,594.3524,296.9527,929.121,1155.609,959.0771,679.4948,799.2739,197.966,327.5556,180.0372,225.7764
6930,2020-10-03 02:20:53Z,SO4_12_11,8,204.7903,442.9186,2325.356,12675.84,5534.735,14223,920.4338,3121.09,3005.167,587.4005,7888.955,100.5598,8060.83,82.88613,10607.68,86.41927,15993.35,80.36305,3143.286,59.73223,1234.98,397.9073,1221.398,184.6971,267.5004,662.0634,286.9711,919.1394,1121.544,976.5466,669.4199,822.782,190.1516,292.3906,179.0641,231.6155
6931,2020-10-03 02:21:09Z,SO4_12_11,9,195.2652,436.2511,2091.495,12017.81,5029.063,10176.64,858.0316,2968.984,2658.45,542.7984,6950.908,85.20716,7941.719,54.02948,10069.57,70.28767,8275.192,64.95096,2841.687,52.3881,892.9993,399.741,1210.742,139.8547,201.4612,637.8212,176.3417,915.8122,591.3435,899.6807,353.7403,829.4985,181.6859,263.7376,173.225,221.8837
6933,2020-10-03 02:22:57Z,SO4_12_11,10,199.0753,429.5835,2224.995,12450.5,5043.877,15147.43,947.7349,3180.567,2980.763,595.8159,7424.538,100.5598,8623.842,92.0957,11091.62,92.18055,16875.14,83.66564,3297.513,63.6491,1281.738,393.3231,1283.112,189.1369,291.7426,691.3212,301.1117,934.9436,1173.079,945.1014,680.6142,877.6341,197.966,308.6707,184.9031,253.9985
